11/09/2023 Fairfield               80 Rhode Island            93    
11/09/2023 Point Park              56 Robert Morris           66    
11/09/2023 New Mexico              58 Saint Mary's            72    
11/09/2023 Utah Valley             79 Sam Houston St.         73 1  
11/09/2023 Saint Francis           52 San Francisco           84    
11/09/2023 Bethesda                72 San Jose St.           117    
11/09/2023 North Park              67 SIU Edwardsville        92    
11/09/2023 Lamar                   67 SMU                     78    
11/09/2023 South Carolina St.      52 South Florida           96    
11/09/2023 Life Pacific            73 Southern Utah          108    
11/09/2023 Army                    44 Stonehill               57    
11/09/2023 Nebraska Omaha          60 TCU                     82    
11/09/2023 Kentucky St.            58 Tennessee St.           83    
11/09/2023 Northwestern St.        71 Tulane                  88    
11/09/2023 Pepperdine              78 UC Davis                79    
11/09/2023 Portland St.            82 UC Santa Barbara        76    
11/09/2023 Cal St. Bakersfield     59 USC                     85    
11/09/2023 Science and Arts        72 UTEP                   123    
11/09/2023 Christendom             53 VMI                     87    
11/09/2023 Molloy                  48 Wagner                  83    
11/09/2023 Northern Kentucky       67 Washington              75    
11/09/2023 Western Kentucky        61 Wichita St.             71    
11/09/2023 American                56 William & Mary          75    
11/10/2023 Southern Miss           54 Akron                   72    
11/10/2023 Indiana St.             80 Alabama                102    
11/10/2023 Gardner Webb            68 Arkansas                86    
11/10/2023 Southeastern Louisiana  71 Auburn                  86    
11/10/2023 Trinity FL              46 Bethune Cookman        113    
11/10/2023 Southeast Missouri St.  56 Butler                  91    
11/10/2023 San Diego St.           65 BYU                     74    
11/10/2023 Jackson St.             66 Cal Baptist             80    
11/10/2023 Pacific                 87 California              79    
11/10/2023 Hendrix                 39 Central Arkansas        82    
11/10/2023 Duquesne                90 Charleston              72 N   Annapolis, MD
11/10/2023 Liberty                 71 Charlotte               59 n   Charlotte, NC
11/10/2023 Detroit Mercy           61 Cincinnati              93    
11/10/2023 Grambling St.           63 Colorado                95    
11/10/2023 Wright St.              77 Colorado St.           105    
11/10/2023 UMass Lowell            81 Dartmouth               48    
11/10/2023 Arizona                 78 Duke                    73    
11/10/2023 Wilberforce             75 Eastern Kentucky       133    
11/10/2023 Virginia                73 Florida                 70 N   Charlotte, NC
11/10/2023 Ave Maria               71 Florida Gulf Coast      80    
11/10/2023 Kennesaw St.            67 Florida St.             94    
11/10/2023 Belmont                 76 Furman                  99    
11/10/2023 Austin Peay             45 George Mason            67    
11/10/2023 Wake Forest             77 Georgia                 80    
11/10/2023 Yale                    71 Gonzaga                 86    
11/10/2023 Princeton               74 Hofstra                 67    
11/10/2023 Oakland                 53 Illinois                64    
11/10/2023 Little Rock             71 Illinois Chicago        86    
11/10/2023 Sacred Heart            81 Iona                    88    
11/10/2023 Alabama St.             67 Iowa                    98    
11/10/2023 Manhattan               61 Kansas                  99    
11/10/2023 Bellarmine              75 Kansas St.              83    
11/10/2023 Texas A&M Commerce      61 Kentucky                81    
11/10/2023 Air Force               82 LIU                     67    
11/10/2023 Chattanooga             81 Louisville              71    
11/10/2023 Nicholls St.            68 LSU                     66    
11/10/2023 Rider                   65 Marquette               95    
11/10/2023 Radford                 66 Marshall                62 N   White Sulpher Springs, WV
11/10/2023 Davidson                64 Maryland                61 N   Asheville, NC
11/10/2023 Biblical Studies        55 McNeese St.             96    
11/10/2023 UCF                     72 Miami FL                88    
11/10/2023 Youngstown St.          62 Michigan                92    
11/10/2023 UTSA                    76 Minnesota              102    
11/10/2023 Eastern Washington      64 Mississippi             75    
11/10/2023 Memphis                 70 Missouri                55    
11/10/2023 Tennessee Tech          72 Murray St.              78    
11/10/2023 Abilene Christian       64 N.C. State              84    
11/10/2023 Temple                  75 Navy                    68    
11/10/2023 Dayton                  66 Northwestern            71    
11/10/2023 Texas A&M               73 Ohio St.                66    
11/10/2023 Mississippi Valley St.  43 Oklahoma                82    
11/10/2023 Mid America Christian   69 Oral Roberts            74    
11/10/2023 Montana                 61 Oregon                  75    
11/10/2023 Troy                    80 Oregon St.              81 2  
11/10/2023 Lehigh                  65 Penn St.                74    
